NM_BAIRRO,SITUACAO,AREA_KM2,pop_amarel,pop_indige,pop_branco,pop_negros,renda_sal,hab_setor,qtd_estabelecimentos,num_escolas
Beira Mar,Urbana,0.648902370156771,30.0,0.0,3662.0,3833.0,2.0,7525.0,1.0,0
Boa Vista,Urbana,0.322127144848389,94.0,6.0,7294.0,2579.0,3.0,9973.0,4.0,0
Catiapoã,Urbana,1.390322241613533,63.0,13.0,7277.0,7530.0,2.0,14883.0,5.0,13
Centro,Urbana,0.781046479925892,100.0,9.0,5675.0,3062.0,3.0,8846.0,263.0,24
Cidade Náutica,Urbana,3.272881147877705,60.0,7.0,14407.0,17080.0,2.0,31554.0,8.0,20
Esplanada dos Barreiros,Urbana,0.740323108922338,13.0,0.0,4218.0,4399.0,2.0,8630.0,2.0,8
Gonzaguinha,Urbana,0.669930667121984,93.0,5.0,7408.0,3824.0,4.0,11330.0,5.0,0
Humaitá,Urbana,7.765586685397366,5.0,0.0,4688.0,6975.0,2.0,11668.0,6.0,10
Itararé,Urbana,1.879283905091589,61.0,3.0,6012.0,2688.0,3.0,8764.0,24.0,4
Japuí,Urbana,3.700973697874667,8.0,51.0,2937.0,2543.0,2.0,5539.0,1.0,5
Jardim Guassu,Urbana,0.343589672938047,8.0,3.0,1877.0,1565.0,2.0,3453.0,3.0,2
Jardim Independência,Urbana,0.351823609377544,36.0,0.0,2085.0,1241.0,3.0,3362.0,9.0,3
Jardim Irmã Dolores,Urbana,16.855262229168577,16.0,10.0,8550.0,16306.0,2.0,24882.0,2.0,8
Jardim Rio Branco,Urbana,6.334328936624544,9.0,19.0,7425.0,13002.0,2.0,20455.0,20.0,13
Jóckey Club,Urbana,2.342051103058069,10.0,10.0,10530.0,17682.0,2.0,28232.0,2.0,8
Nova São Vicente,Urbana,0.365512960403459,0.0,3.0,1618.0,2451.0,2.0,4072.0,0.0,3
Parque Bitaru,Urbana,1.286616695297685,88.0,19.0,6771.0,7453.0,2.0,14331.0,4.0,7
Parque Continental,Urbana,0.966639098042317,21.0,4.0,4962.0,8172.0,2.0,13159.0,1.0,5
Parque São Vicente,Urbana,0.768655184287269,21.0,7.0,5355.0,4975.0,2.0,10358.0,6.0,13
Parque das Bandeiras,Urbana,3.266658377153207,13.0,24.0,4880.0,7052.0,2.0,11969.0,3.0,10
Samarita,Urbana,3.885350575161145,7.0,0.0,3916.0,7209.0,1.0,11132.0,6.0,13
Vila Ema,Urbana,0.506678199004146,0.0,0.0,2223.0,3077.0,2.0,5300.0,1.0,3
Vila Margarida,Urbana,1.521429927340382,3.0,11.0,9008.0,16294.0,1.0,25316.0,7.0,19
Vila Melo,Urbana,0.719480968345287,50.0,4.0,3439.0,2069.0,3.0,5562.0,1.0,1
Vila Nossa Senhora de Fátima,Urbana,0.749416462416485,3.0,0.0,4406.0,4940.0,2.0,9349.0,1.0,8
Vila Nova Mariana,Urbana,0.0967779260911659,0.0,0.0,535.0,1142.0,1.0,1677.0,0.0,0
Vila São Jorge,Urbana,0.597360803300454,47.0,22.0,4641.0,2707.0,3.0,7417.0,8.0,6
Vila Valença,Urbana,0.446898322079294,27.0,5.0,4044.0,1584.0,4.0,5660.0,12.0,5
Vila Voturuá,Urbana,0.851713368153888,11.0,4.0,1817.0,1362.0,3.0,3194.0,4.0,3
