Bairro,Numero_de_Escolas
Parque Bitaru,47
Esplanada dos Barreiros,46
,40
Boa Vista,35
Parque das Bandeiras,14
Vila Nova Mariana,14
Cidade Nautica,10
Jardim Rio Branco,9
Samaritá,9
São Vicente,4
Jardim Rio Negro,4
Vila Ponte Nova,3
Vila Quarentenário Particular,3
Quarentenário,3
